Player,URL,School,Games,Minutes_Per_Game,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS,TS%,eFG%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,YearsPlayed,LastConf
A.C. Green,https://www.sports-reference.com/cbb/players/ac-green-1.html,"
A.C. Green Jr
",,35.2,5.3,8.8,0.602,,,,4.1,5.9,0.696,7.7,1.6,1.1,0.3,2.5,14.7,0.633,,,,,,17.7,,,,,,4,Pac-10
A.J. Green,https://www.sports-reference.com/cbb/players/aj-green-1.html,"
AJ Green
",,33.7,5.9,14.4,0.414,2.7,7.1,0.378,3.3,3.6,0.9,3.3,2.6,0.7,0.1,2.7,17.9,0.555,0.508,6,17.2,1.3,0.2,14.2,29.9,7.3,3.6,10.9,0.131,4,MVC
A.J. Guyton,https://www.sports-reference.com/cbb/players/aj-guyton-1.html,"
A.J. Guyton
",,34,5.8,12.8,0.455,2.2,5.3,0.414,2.5,3.2,0.79,3.4,3.1,1,0.4,2.3,16.4,0.572,0.541,,,,,13.9,,11.5,4.1,15.6,0.144,4,Big Ten
A.J. Price,https://www.sports-reference.com/cbb/players/aj-price-1.html,"
A.J. Price
",,29.4,4.3,10.5,0.413,1.6,4.4,0.365,2.7,3.7,0.722,3.4,4.7,1.1,0.1,2.4,13,0.528,0.489,5.8,28.2,,0,16.2,25.1,4.4,5.9,10.3,0.142,3,Big East
AJ Griffin,https://www.sports-reference.com/cbb/players/aj-griffin-1.html,"
AJ Griffin
",,24,3.7,7.6,0.493,1.8,4.1,0.447,1.1,1.4,0.792,3.9,1,0.5,0.6,0.6,10.4,0.63,0.613,9.1,7,1.3,2.3,7.2,18.8,3,1.2,4.2,0.18,1,ACC
Aaron Brooks,https://www.sports-reference.com/cbb/players/aaron-brooks-1.html,"
Aaron Brooks
",,32.7,4.3,10.1,0.43,1.8,4.8,0.374,2.7,3.2,0.834,3.5,4.1,1.1,0.1,2.6,13.1,0.565,0.518,6.6,26.2,,0.3,18.5,23.2,7.7,4.5,12.2,0.129,4,Pac-10
Aaron Gordon,https://www.sports-reference.com/cbb/players/aaron-gordon-1.html,"
Aaron Gordon
",,31.2,5,10.1,0.495,0.4,1.2,0.356,2,4.7,0.422,8,2,0.9,1,1.4,12.4,0.503,0.516,14.9,13,1.8,3.4,10.5,23.2,2.1,3.3,5.4,0.183,1,Pac-12
Aaron Gray,https://www.sports-reference.com/cbb/players/aaron-gray-1.html,"
Aaron Gray
",,20.9,3.8,7,0.55,0,0,,2.1,3.6,0.595,7,1.3,0.4,1.2,1.6,9.8,0.565,0.55,19.4,14,,3.7,15.2,24.9,5.6,9.4,15,0.254,4,Big East
Aaron Holiday,https://www.sports-reference.com/cbb/players/aaron-holiday-1.html,,,31.8,4.7,10.5,0.45,1.8,4.2,0.422,3.1,3.9,0.795,3.2,4.7,1.2,0.2,3,14.3,0.58,0.535,5.4,25.5,2.2,0.7,19.6,23.3,6.7,3.2,9.8,0.123,3,Pac-12
Aaron McKie,https://www.sports-reference.com/cbb/players/aaron-mckie-1.html,,,38,6.1,14.5,0.421,1.9,5.3,0.366,3.8,4.8,0.79,6.4,3.3,2.1,0.3,1.9,17.9,0.534,0.488,,,,,10.2,,,,,,3,A-10
Aaron Nesmith,https://www.sports-reference.com/cbb/players/aaron-nesmith-1.html,"
Aaron Nesmith
",,31,4.8,10.8,0.442,2.6,6.3,0.41,2.6,3.1,0.825,5.3,1.3,0.9,0.7,1.6,14.7,0.598,0.561,9.8,9.4,1.7,2.2,11.7,22.7,3.6,1.4,5,0.14,2,SEC
Aaron Wiggins,https://www.sports-reference.com/cbb/players/aaron-wiggins-1.html,"
Aaron Wiggins
",,28.2,3.9,9.6,0.407,1.8,5,0.361,1.4,1.8,0.769,4.6,1.6,0.9,0.4,1.4,11,0.525,0.5,9.5,11.9,1.9,1.5,12.1,22.3,4.5,4.2,8.7,0.129,3,Big Ten
Aaron Williams,https://www.sports-reference.com/cbb/players/aaron-williams-1.html,"
Aaron Williams
",,23.6,3.7,6.6,0.556,0,0,,1.8,2.6,0.707,6.1,1.1,0.6,1.7,2,9.2,0.586,0.556,,,,,20.6,,,,,,4,MW Coll
Abdel Nader,https://www.sports-reference.com/cbb/players/abdel-nader-1.html,"
Abdel Nader
",,24.7,4,12,0.337,1.2,4.2,0.289,2.1,2.9,0.717,4.7,1,0.9,0.6,3,11.4,0.552,0.52,9.3,8,1.7,2.4,16.7,21.6,1.7,2.1,3.8,0.095,5,Big 12
Acie Law,https://www.sports-reference.com/cbb/players/acie-law-1.html,"
Acie Law IV
",,30.8,5,10.6,0.466,0.9,2.6,0.357,2.8,3.7,0.76,3.1,4.5,1.3,0,2.5,13.7,0.551,0.51,5.7,31.8,,0,16.5,25.3,7.9,5.7,13.6,0.145,4,Big 12
Adam Keefe,https://www.sports-reference.com/cbb/players/adam-keefe-1.html,"
Adam Keefe
",,32,6.6,11.1,0.6,0.1,0.1,0.467,5.2,7.1,0.736,9,1.7,1.1,0.4,2.5,18.6,0.642,0.602,,,,,14.6,,,,,,4,Pac-10
Adam Morrison,https://www.sports-reference.com/cbb/players/adam-morrison-1.html,"
Adam Morrison
",,30.6,7,14,0.503,1.3,3.7,0.368,4.2,5.5,0.761,5.1,2,0.7,0.4,1.7,19.7,0.591,0.552,9.4,17.4,,0.9,9.4,26.7,10.5,3.6,14.1,0.193,3,WCC
Adonal Foyle,https://www.sports-reference.com/cbb/players/adonal-foyle-1.html,"
Adonal Foyle
",,36.5,8.2,15,0.547,0,0.1,0.1,4,8.2,0.491,12.7,1.5,0.7,5.7,3.8,20.4,0.541,0.548,,,,,16.7,,5,5,9.9,,3,Patriot
Adreian Payne,https://www.sports-reference.com/cbb/players/adreian-payne-1.html,"
Adreian Payne
",,20,3.2,6.2,0.526,0.4,1.1,0.409,2,2.7,0.755,5.3,0.6,0.6,1,1.4,8.9,0.601,0.562,16.1,6.6,1.7,5.8,15.4,22.9,7,6.2,13.2,0.192,4,Big Ten
Adrian Griffin,https://www.sports-reference.com/cbb/players/adrian-griffin-1.html,"
Adrian Griffin
",,26.7,4.4,8.8,0.506,0.2,0.6,0.278,2.4,3.7,0.654,6.5,2.2,1.7,0.5,1.9,11.5,0.544,0.515,,,,,15.5,,1.9,1.8,3.7,,4,Big East
Ajay Mitchell,https://www.sports-reference.com/cbb/players/ajay-mitchell-1.html,"
Ajay Mitchell
",,32.5,5.5,10.8,0.511,0.8,2.3,0.332,4.2,5.2,0.818,3,4.3,1.1,0.3,2.2,16.1,0.604,0.546,5.7,27.4,2.1,1,14.2,25.3,9.7,3.9,13.6,0.184,3,Big West
Al Horford,https://www.sports-reference.com/cbb/players/al-horford-1.html,"
Al Horford
",,25.7,3.9,6.6,0.586,0,0,0,2.5,4.1,0.619,7.9,1.7,0.9,1.7,1.6,10.3,0.601,0.586,17,11.6,,4.9,15.6,18.6,7,10,17.1,0.244,3,SEC
Al Thornton,https://www.sports-reference.com/cbb/players/al-thornton-1.html,"

",,22,4.4,8.3,0.528,0.5,1.2,0.438,3,4.2,0.701,5.2,0.7,0.8,0.6,1.7,12.3,0.593,0.559,14.6,7.3,,2,14.4,28.3,8.9,4.6,13.6,0.199,4,ACC
Al-Farouq Aminu,https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,"
Al-Farouq Aminu
",,30.1,5,10.6,0.476,0.4,1.7,0.238,3.9,5.7,0.687,9.4,1.4,1.2,1.3,2.9,14.4,0.541,0.495,17.6,9.1,2.6,4.5,17.9,27.5,3.9,4.4,8.3,0.179,2,ACC
Alan Anderson,https://www.sports-reference.com/cbb/players/alan-anderson-1.html,"
Alan Anderson
",,26.8,3,6.1,0.503,0.4,1,0.366,3,3.6,0.831,4.2,2.4,0.8,0.2,2.3,9.5,0.61,0.535,9.7,18,,0.5,22.7,19.6,8.4,4.4,12.9,0.152,4,Big Ten
Alan Henderson,https://www.sports-reference.com/cbb/players/alan-henderson-1.html,"
Alan Henderson
",,29,6.2,11.4,0.54,0,0.2,0.231,3.6,5.6,0.646,8.8,1.1,1.2,1.7,1.8,16,0.568,0.542,17.3,4.1,,5.8,11.5,23.6,,,,,4,Big Ten
Alan Williams,https://www.sports-reference.com/cbb/players/alan-williams-1.html,"
Alan Williams
",,2,0.3,0.7,0.429,0.1,0.3,0.333,0.2,0.3,0.75,0.4,0.1,0.1,0,0,0.9,0.544,0.5,8.6,12.2,,0,3.9,17.9,0.1,0.1,0.2,0.131,4,ACC
Alec Burks,https://www.sports-reference.com/cbb/players/alec-burks-1.html,"
Alec Burks
",,30.9,6.2,12.6,0.495,0.7,2.2,0.313,5.9,7.3,0.804,5.8,2.4,1.1,0.4,2.3,19,0.592,0.522,11.3,17,2.1,1.2,12.6,30,9.2,1.6,10.8,0.206,2,Big 12
Alex Caruso,https://www.sports-reference.com/cbb/players/alex-caruso-1.html,"
Alex Caruso
",,28.7,2.8,6.1,0.455,0.7,2,0.34,1.7,2.5,0.685,3.7,4.7,2,0.4,2.5,8,0.543,0.509,7.7,32.9,4.3,1.8,25.7,18.1,4.6,8.6,13.2,0.134,4,SEC
Alex Len,https://www.sports-reference.com/cbb/players/alex-len-1.html,"
Alex Len
",,24.5,3.8,7,0.538,0,0.2,0.111,2.2,3.3,0.663,7,0.8,0.2,2.1,1.6,9.7,0.569,0.539,16.5,7.2,0.5,8.6,15.4,20.7,3.5,2.6,6.1,0.165,2,ACC
Allan Houston,https://www.sports-reference.com/cbb/players/allan-houston-1.html,"
Allan Houston
",,36,7,15.3,0.46,2.7,6.4,0.424,5.1,6,0.849,4,3.6,1,0.4,3.2,21.9,0.602,0.548,,,,,14.9,,,,,,4,SEC
Allan Ray,https://www.sports-reference.com/cbb/players/allan-ray-1.html,"
Allan Ray
",,30.9,5.1,12.4,0.407,2.4,6.5,0.367,3.1,3.7,0.82,3.2,2,1.1,0.1,2.2,15.6,0.548,0.503,6.2,14.7,,0.3,13.2,26.2,8.9,5.1,14,0.139,4,Big East
Allen Crabbe,https://www.sports-reference.com/cbb/players/allen-crabbe-1.html,,,34.7,5.4,12.2,0.446,2.1,5.6,0.382,2.7,3.3,0.819,5.7,2.2,0.9,0.6,1.9,15.7,0.571,0.533,10,13.6,1.5,1.7,11.9,23.3,8.6,4.9,13.6,0.159,3,Pac-12
