team_name_abbr,conf_abbr,class,pos,games,games_started,Minutes,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,pf_per_g,PTS,awards,year_id,TS%,TOV%,fta_per_fga_pct,player,url,school,season,3P,3PA,3P%,fg2_per_g,fg2a_per_g,fg2_pct,eFG%,orb_per_g,drb_per_g,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,fg3a_per_fga_pct
Oregon State,Pac-10,SR,F,31,31,38.4,7.0,11.7,.599,5.1,7.5,.680,9.2,2.0,1.4,0.6,2.4,2.1,19.1,,1984-85,.626,13.4,.638,A.C. Green Jr,https://www.sports-reference.com/cbb/players/ac-green-1.html,Oregon State (Men),1984-85,,,,,,,,,,,,,,,,,,,,,,
Northern Iowa,MVC,SR,G,31,31,36.4,5.6,13.8,.410,4.5,4.9,.915,3.7,2.5,0.8,0.0,2.2,1.6,18.8,,2021-22,.583,12.0,.358,AJ Green,https://www.sports-reference.com/cbb/players/aj-green-1.html,2018,2021-22,3.0,7.7,.388,2.6,6.0,.439,.519,0.2,3.5,6.3,14.3,1.4,0.1,27.1,3.1,0.9,4.1,.144,4.4,-0.6,3.8,.562
Indiana,Big Ten,SR,G,29,29,34.3,7.0,15.3,.459,3.1,3.9,.789,3.1,2.3,1.0,0.4,2.4,0.9,19.7,AA-1,1999-00,.572,12.2,.257,A.J. Guyton,https://www.sports-reference.com/cbb/players/aj-guyton-1.html,Indiana (Men),1999-00,2.5,5.9,.419,4.6,9.4,.485,.541,0.6,2.5,,,,,,3.1,1.2,4.3,.171,,,,.387
Connecticut,Big East,SR,G,35,35,31.8,4.9,11.9,.408,2.7,3.7,.721,3.5,4.7,0.7,0.0,2.7,1.3,14.7,,2008-09,.538,16.4,.309,A.J. Price,https://www.sports-reference.com/cbb/players/aj-price-1.html,2004,2008-09,2.3,5.8,.402,2.5,6.1,.413,.506,0.6,2.9,5.8,28.2,,0.0,25.1,2.1,1.9,4.0,.144,,,,.489
Duke,ACC,FR,F,39,25,24.0,3.7,7.6,.493,1.1,1.4,.792,3.9,1.0,0.5,0.6,0.6,1.1,10.4,,2021-22,.630,7.2,.179,AJ Griffin,https://www.sports-reference.com/cbb/players/aj-griffin-1.html,2021,2021-22,1.8,4.1,.447,1.9,3.5,.547,.613,0.8,3.2,9.1,7.0,1.3,2.3,18.8,3.0,1.2,4.2,.180,6.6,1.5,8.1,.537
Oregon,Pac-10,SR,G,35,35,36.8,6.1,13.2,.460,3.3,3.9,.846,4.3,4.3,1.4,0.2,2.5,2.5,17.7,,2006-07,.589,14.4,.294,Aaron Brooks,https://www.sports-reference.com/cbb/players/aaron-brooks-1.html,2003,2006-07,2.3,5.7,.404,3.8,7.6,.502,.546,0.9,3.4,7.0,24.0,,0.3,24.4,3.6,2.2,5.7,.178,,,,.428
Arizona,Pac-12,FR,F,38,38,31.2,5.0,10.1,.495,2.0,4.7,.422,8.0,2.0,0.9,1.0,1.4,2.4,12.4,SN-AA-3,2013-14,.503,10.5,.471,Aaron Gordon,https://www.sports-reference.com/cbb/players/aaron-gordon-1.html,2013,2013-14,0.4,1.2,.356,4.6,8.9,.513,.516,2.7,5.3,14.9,13.0,1.8,3.4,23.2,2.1,3.3,5.4,.183,3.7,4.7,8.4,.118
Pittsburgh,Big East,SR,C,36,35,28.2,5.7,10.0,.565,2.5,4.6,.548,9.5,1.7,0.4,1.7,1.5,2.5,13.9,,2006-07,.567,11.1,.460,Aaron Gray,https://www.sports-reference.com/cbb/players/aaron-gray-1.html,Pittsburgh (Men),2006-07,0.0,0.0,,5.7,10.0,.565,.565,3.3,6.1,,,,,,2.5,4.2,6.8,.266,,,,.000
UCLA,Pac-12,JR,G,33,33,37.7,6.4,13.9,.461,4.8,5.8,.828,3.7,5.8,1.3,0.2,3.8,2.6,20.3,SN-AA-3,2017-18,.609,18.5,.417,Aaron Holiday,https://www.sports-reference.com/cbb/players/aaron-holiday-1.html,2015,2017-18,2.7,6.2,.429,3.8,7.7,.486,.557,0.5,3.2,5.3,29.9,1.9,0.7,26.7,3.7,1.2,4.9,.157,5.3,0.6,5.9,.446
Temple,A-10,SR,G,31,31,39.2,6.2,15.5,.401,4.4,5.4,.815,7.2,3.2,1.9,0.3,1.7,1.7,18.8,,1993-94,.519,8.5,.349,Aaron McKie,https://www.sports-reference.com/cbb/players/aaron-mckie-1.html,Temple (Men),1993-94,1.9,5.1,.371,4.3,10.4,.416,.463,,,,,,,,,,,,,,,.331
