Player,Shooter_Score,Rebounding_Score,Defense_Score,Playmaking_Score,Scorer_Score,Shooter_Category,Rebounding_Category,Defense_Category,Playmaking_Category,Scorer_Category
A.C. Green,45,85,75,64,64,0,2,1,0,0
A.J. Green,87,57,75,79,69,2,0,1,1,1
A.J. Guyton,75,42,32,80,68,1,0,0,1,0
A.J. Price,79,57,71,81,76,1,0,1,2,1
AJ Griffin,81,62,73,72,76,2,0,1,1,1
Aaron Brooks,81,52,62,82,79,2,0,0,2,1
Aaron Gordon,80,81,75,80,80,1,1,1,1,2
Aaron Gray,39,91,77,55,57,0,2,1,0,0
Aaron Holiday,74,64,77,80,72,1,1,1,1,1
Aaron McKie,64,69,84,79,64,1,1,2,1,0
Aaron Nesmith,84,72,72,73,77,2,1,1,1,1
Aaron Wiggins,78,76,75,72,73,1,1,1,1,1
Aaron Williams,44,84,77,57,69,0,2,1,0,1
Abdel Nader,76,65,77,61,69,1,1,1,0,1
Acie Law,57,51,70,78,64,1,0,1,1,0
Adam Keefe,46,82,72,68,67,0,1,1,1,0
Adam Morrison,76,62,57,69,71,1,0,0,1,1
Adonal Foyle,37,86,81,55,59,0,2,2,0,0
Adreian Payne,46,82,55,59,71,0,1,0,0,1
Adrian Griffin,55,79,83,78,62,1,1,2,1,0
Ajay Mitchell,71,66,80,77,67,1,1,2,1,0
Al Harrington,81,79,68,69,84,2,1,0,1,2
Al Horford,77,84,82,83,79,1,2,2,2,2
Al Jefferson,46,87,76,72,85,0,2,1,1,2
Al Thornton,57,74,67,64,77,1,1,0,0,1
Al-Farouq Aminu,74,83,79,67,69,1,2,2,1,1
Alan Anderson,79,62,68,68,74,1,0,0,1,1
Alan Henderson,46,84,70,55,76,0,2,1,0,1
Alan Williams,41,96,72,55,74,0,2,1,0,1
Alec Burks,81,74,71,78,80,2,1,1,1,2
Aleksej Pokusevski,80,81,77,76,76,2,1,1,1,1
Alex Caruso,77,68,85,82,68,1,1,2,2,0
Alex Len,60,88,78,62,72,1,2,1,0,1
Alex Sarr,84,84,70,77,81,2,2,1,1,2
Alexey Shved,80,65,63,81,80,1,1,0,2,2
Alexis Ajinça,45,88,78,53,66,0,2,1,0,0
