Player,Shooter_Score,Rebounding_Score,Defense_Score,Playmaking_Score,Scorer_Score,Shooter_Category,Rebounding_Category,Defense_Category,Playmaking_Category,Scorer_Category
A.C. Green,45,85,77,64,64,0,2,1,0,0
A.J. Green,86,63,75,80,69,2,0,1,2,0
A.J. Guyton,75,45,31,80,68,1,0,0,2,0
A.J. Lawson,82,72,64,76,77,2,1,0,1,1
A.J. Price,79,55,71,81,76,2,0,1,2,1
AJ Griffin,81,61,72,72,76,2,0,1,1,1
AJ Johnson,80,62,48,81,76,2,0,0,2,1
Aaron Brooks,81,55,61,82,79,2,0,0,2,2
Aaron Gordon,80,83,76,80,80,2,2,1,2,2
Aaron Gray,39,82,77,55,57,0,2,1,0,0
Aaron Holiday,74,59,75,80,72,1,0,1,2,1
Aaron McKie,64,69,83,79,64,1,1,2,2,0
Aaron Nesmith,84,76,74,72,78,2,1,1,1,2
Aaron Wiggins,78,72,76,73,74,1,1,1,1,1
Aaron Williams,44,78,76,57,69,0,2,1,0,0
Abdel Nader,76,58,76,61,69,1,0,1,0,0
Acie Law,57,48,65,78,64,0,0,0,1,0
Adam Keefe,46,81,76,68,67,0,2,1,0,0
Adam Morrison,75,60,58,69,71,1,0,0,1,1
Adem Bona,47,77,76,51,63,0,1,1,0,0
Adonal Foyle,37,82,81,55,59,0,2,2,0,0
Adreian Payne,46,81,53,59,71,0,2,0,0,1
Adrian Griffin,55,77,82,78,62,0,1,2,1,0
Ajay Mitchell,72,58,78,78,68,1,0,2,1,0
Al Harrington,81,82,73,69,84,2,2,1,0,2
Al Horford,77,87,85,83,79,1,2,2,2,2
Al Jefferson,46,91,80,72,85,0,2,2,1,2
Al Thornton,57,76,66,64,77,0,1,0,0,1
Al-Farouq Aminu,74,82,80,67,68,1,2,2,0,0
Alan Anderson,79,63,68,68,74,2,0,0,0,1
Alan Henderson,46,81,73,55,75,0,2,1,0,1
Alan Williams,41,84,71,55,74,0,2,1,0,1
Alec Burks,81,75,70,78,80,2,1,0,1,2
Aleksej Pokusevski,80,79,76,76,76,2,2,1,1,1
Alex Caruso,77,68,84,82,68,1,0,2,2,0
Alex Len,60,81,77,62,71,0,2,1,0,1
Alex Sarr,85,84,71,77,82,2,2,1,1,2
Alexey Shved,80,63,62,81,80,2,0,0,2,2
Alexis Ajinça,45,79,77,52,66,0,2,1,0,0
Allan Houston,82,68,75,77,86,2,0,1,1,2
Allan Ray,77,53,63,64,73,1,0,0,0,1
Allen Crabbe,82,67,62,74,70,2,0,0,1,0
Allen Iverson,77,72,76,89,90,1,1,1,2,2
Allonzo Trier,75,71,61,73,79,1,1,0,1,2
Alonzo Gee,66,75,72,61,67,1,1,1,0,0
Alonzo Mourning,44,86,86,53,81,0,2,2,0,2
Alperen Şengün,67,89,83,84,84,1,2,2,2,2
Alvin Williams,62,60,76,83,72,0,0,1,2,1
Amar'e Stoudemire,49,85,76,58,84,0,2,1,0,2
Amen Thompson,63,87,87,81,78,0,2,2,2,2
Amir Coffey,80,64,76,77,72,2,0,1,1,1
Amir Johnson,55,83,81,70,69,0,2,2,1,0
Anderson Varejão,44,89,81,70,71,0,2,2,1,1
Andray Blatche,53,82,78,68,80,0,2,2,0,2
Andre Drummond,46,97,82,70,81,0,2,2,1,2
Andre Iguodala,77,79,85,86,76,1,2,2,2,1
Andre Miller,58,74,76,92,77,0,1,1,2,1
Andre Roberson,66,77,83,70,56,1,1,2,1,0
Andrea Bargnani,80,79,65,65,84,2,2,0,0,2
Andrei Kirilenko,68,81,87,79,78,1,2,2,2,2
Andrew Bogut,42,90,85,76,66,0,2,2,1,0
Andrew Bynum,44,86,77,64,79,0,2,1,0,2
Andrew DeClercq,42,80,76,56,68,0,2,1,0,0
Andrew Harrison,76,61,76,82,74,1,0,1,2,1
Andrew Lang,38,80,70,57,60,0,2,0,0,0
Andrew Nembhard,78,66,74,88,76,1,0,1,2,1
Andrew Nicholson,58,73,68,52,73,0,1,0,0,1
Andrew Wiggins,86,79,71,79,87,2,2,0,2,2
Andris Biedriņš,39,89,80,67,64,0,2,2,0,0
Andrés Nocioni,81,79,75,66,79,2,2,1,0,2
Anfernee Hardaway,68,77,78,81,78,1,1,2,2,2
Anfernee Simons,91,67,54,83,85,2,0,0,2,2
Antawn Jamison,79,88,71,69,86,2,2,1,1,2
Ante Žižić,44,81,53,62,72,0,2,0,0,1
Anthony Bennett,53,76,61,68,67,0,1,0,0,0
Anthony Black,73,65,82,77,70,1,0,2,1,0
Anthony Brown,75,64,62,68,56,1,0,0,0,0
Anthony Carter,57,63,80,87,65,0,0,2,2,0
Anthony Davis,72,94,85,79,91,1,2,2,2,2
Anthony Edwards,94,81,81,84,92,2,2,2,2,2
Anthony Goldwire,77,55,61,86,69,1,0,0,2,0
Anthony Johnson,68,58,72,85,66,1,0,1,2,0
Anthony Lamb,79,72,65,71,66,2,1,0,1,0
Anthony Mason,48,90,83,86,77,0,2,2,2,1
Anthony Morrow,81,60,63,71,76,2,0,0,1,1
Anthony Parker,80,73,78,80,75,2,1,2,2,1
Anthony Peeler,80,70,76,83,78,2,1,1,2,2
Anthony Randolph,44,81,72,59,79,0,2,1,0,2
Anthony Tolliver,79,76,68,70,67,2,1,0,1,0
Antoine Carr,43,61,75,63,71,0,0,1,0,1
Antoine Walker,83,88,76,80,87,2,2,1,2,2
Antoine Wright,74,68,72,72,68,1,0,1,1,0
Antonio Daniels,68,60,72,87,73,1,0,1,2,1
Antonio Davis,41,86,76,64,73,0,2,1,0,1
Antonio McDyess,42,86,80,63,77,0,2,2,0,2
Antonio Reeves,79,51,51,67,73,2,0,0,0,1
Anžejs Pasečņiks,43,77,58,59,65,0,1,0,0,0
Archie Goodwin,69,65,61,75,78,1,0,0,1,2
Armen Gilliam,43,79,75,58,76,0,2,1,0,1
Armoni Brooks,86,61,64,75,71,2,0,0,1,1
Aron Baynes,63,80,77,63,69,0,2,1,0,0
Arron Afflalo,81,70,67,75,79,2,1,0,1,2
Art Long,38,77,69,58,62,0,1,0,0,0
Arvydas Sabonis,61,86,88,76,79,0,2,2,1,2
Ausar Thompson,64,82,83,77,76,1,2,2,1,1
Austin Croshere,76,80,78,64,76,1,2,2,0,1
Austin Daye,76,76,72,69,74,1,1,1,1,1
Austin Reaves,85,75,76,86,81,2,1,1,2,2
Austin Rivers,79,60,70,79,73,2,0,0,2,1
Avery Bradley,82,67,73,75,78,2,0,1,1,2
Avery Johnson,46,53,69,92,75,0,0,0,2,1
Ayo Dosunmu,80,69,77,84,76,2,1,2,2,1
B.J. Armstrong,69,55,52,81,73,1,0,0,2,1
Bam Adebayo,56,90,87,82,83,0,2,2,2,2
Baron Davis,86,74,78,95,85,2,1,2,2,2
Ben Gordon,83,66,71,78,85,2,0,0,1,2
Ben McLemore,85,60,64,62,76,2,0,0,0,1
Ben Sheppard,80,68,76,84,61,2,0,1,2,0
Ben Simmons,45,83,84,93,74,0,2,2,2,1
Ben Wallace,39,91,89,71,58,0,2,2,1,0
Bennedict Mathurin,82,78,61,72,84,2,2,0,1,2
Beno Udrih,68,60,65,85,73,1,0,0,2,1
Bernard Robinson,50,72,81,67,68,0,1,2,0,0
Bilal Coulibaly,80,78,71,78,77,2,2,1,1,1
Billy Owens,56,80,76,72,70,0,2,1,1,0
Bimbo Coles,61,60,67,83,67,0,0,0,2,0
Bismack Biyombo,40,83,78,64,59,0,2,2,0,0
Bison Dele,46,86,81,62,81,0,2,2,0,2
Blake Griffin,82,85,77,86,86,2,2,2,2,2
Blake Wesley,65,62,56,78,68,1,0,0,2,0
Blue Edwards,68,69,61,77,77,1,0,0,1,1
Bo Outlaw,47,81,86,75,59,0,2,2,1,0
Bob Sura,71,79,79,85,77,1,2,2,2,1
Bobby Hurley,49,46,39,84,65,0,0,0,2,0
Bobby Jackson,78,69,77,79,78,1,1,1,2,2
Bobby Phills,79,73,80,81,80,2,1,2,2,2
Bobby Portis,80,87,67,68,82,2,2,0,0,2
Bobby Simmons,76,77,74,72,76,1,1,1,1,1
Bogdan Bogdanović,89,71,74,81,80,2,1,1,2,2
Bojan Bogdanović,87,72,59,68,83,2,1,0,0,2
Bol Bol,70,82,82,59,75,1,2,2,0,1
Bones Hyland,87,63,67,81,82,2,0,0,2,2
Bonzi Wells,61,77,81,70,80,0,1,2,1,2
Boris Diaw,69,79,78,82,74,1,2,2,2,1
Boštjan Nachbar,78,66,72,65,73,1,0,1,0,1
Brad Miller,59,87,78,79,79,0,2,2,2,2
Brad Wanamaker,66,56,76,82,68,1,0,1,2,0
Bradley Beal,87,76,74,85,89,2,1,1,2,2
Brandan Wright,46,77,79,64,69,0,1,2,0,0
Brandin Podziemski,82,81,81,85,77,2,2,2,2,1
Brandon Bass,48,80,78,63,76,0,2,2,0,1
Brandon Boston Jr.,80,71,71,78,78,2,1,1,1,2
Brandon Clarke,59,81,81,75,76,0,2,2,1,1
Brandon Davies,65,73,66,67,72,1,1,0,0,1
Brandon Ingram,81,80,75,85,88,2,2,1,2,2
Brandon Jennings,80,64,70,89,77,2,0,0,2,2
Brandon Knight,84,68,60,83,81,2,0,0,2,2
Brandon Miller,96,78,66,79,88,2,2,0,2,2
Brandon Roy,78,77,78,87,86,1,1,2,2,2
Brandon Rush,79,72,75,68,71,2,1,1,0,1
Brandon Williams,83,71,39,83,83,2,1,0,2,2
Brendan Haywood,41,86,78,53,68,0,2,2,0,0
Brent Barry,82,71,79,81,76,2,1,2,2,1
Brent Price,77,54,69,80,68,1,0,0,2,0
Brevin Knight,47,65,84,91,67,0,0,2,2,0
Brian Cardinal,74,77,83,74,76,1,1,2,1,1
Brian Cook,73,72,69,66,73,1,1,0,0,1
Brian Grant,45,87,81,63,76,0,2,2,0,1
Brian Roberts,76,53,65,83,75,1,0,0,2,1
Brian Scalabrine,70,72,76,71,63,1,1,1,1,0
Brian Shaw,67,74,77,86,68,1,1,1,2,0
Brian Skinner,37,83,75,60,61,0,2,1,0,0
Brice Sensabaugh,84,71,55,70,77,2,1,0,1,2
Brook Lopez,78,83,81,68,83,1,2,2,0,2
Brooks Thompson,80,53,56,81,72,2,0,0,2,1
Bruce Bowen,75,67,83,72,62,1,0,2,1,0
Bruce Brown,75,77,72,81,75,1,1,1,2,1
Bruno Caboclo,82,78,76,72,73,2,2,1,1,1
Bruno Fernando,46,78,77,64,67,0,1,2,0,0
Bryant Reeves,44,85,64,68,79,0,2,0,0,2
Bryant Stith,76,68,66,76,75,1,0,0,1,1
Bryce Drew,75,52,58,83,68,1,0,0,2,0
Bryce McGowens,70,60,61,70,64,1,0,0,1,0
Bryn Forbes,83,52,57,71,77,2,0,0,1,1
Bryon Russell,78,78,82,72,76,1,1,2,1,1
Bub Carrington,85,77,63,87,76,2,1,0,2,1
Buck Williams,43,80,81,55,63,0,2,2,0,0
Buddy Hield,91,76,67,79,82,2,1,0,2,2
Byron Mullens,75,82,57,65,79,1,2,0,0,2
Byron Scott,77,53,78,75,68,1,0,2,1,0
C.J. Miles,84,64,75,67,78,2,0,1,0,2
C.J. Watson,76,61,78,81,72,1,0,2,2,1
C.J. Williams,74,53,76,76,64,1,0,1,1,0
CJ Elleby,74,76,61,73,66,1,1,0,1,0
CJ McCollum,91,76,69,87,89,2,1,0,2,2
Cade Cunningham,88,81,76,94,91,2,2,1,2,2
Calbert Cheaney,50,71,76,75,71,0,1,1,1,1
Caleb Houstan,77,60,66,70,56,1,0,0,1,0
Caleb Martin,77,77,76,76,73,1,1,1,1,1
Calvin Booth,42,78,83,58,64,0,1,2,0,0
Cam Reddish,81,64,71,68,77,2,0,1,0,1
Cam Thomas,85,66,59,77,86,2,0,0,1,2
Cam Whitmore,83,73,73,62,81,2,1,1,0,2
Cameron Johnson,89,77,77,78,82,2,1,1,1,2
Cameron Payne,79,58,69,83,75,2,0,0,2,1
Caris LeVert,84,76,75,86,84,2,1,1,2,2
Carl Herrera,49,78,68,54,74,0,2,0,0,1
Carl Landry,49,80,71,56,80,0,2,0,0,2
Carlos Arroyo,59,56,72,83,71,0,0,1,2,1
Carlos Boozer,44,91,82,76,84,0,2,2,1,2
Carlos Delfino,82,75,82,77,75,2,1,2,1,1
Carlos Rogers,50,77,64,64,66,0,1,0,0,0
Carmelo Anthony,82,84,74,78,91,2,2,1,1,2
Caron Butler,78,80,76,75,81,1,2,1,1,2
Cartier Martin,79,61,72,61,68,2,0,1,0,0
Casey Jacobsen,75,59,68,72,66,1,0,0,1,0
Cason Wallace,79,67,85,81,68,2,0,2,2,0
Cedi Osman,84,71,73,78,77,2,1,1,2,2
Cedric Ceballos,70,82,70,64,82,1,2,0,0,2
